City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
409,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
413,Karratha,AU,80.28,clear sky,-20.7377,116.8463,ibis Styles Karratha
419,San Policarpo,PH,86.25,broken clouds,12.1791,125.5072,Agapita M. Nicart
421,Koumac,NC,80.6,overcast clouds,-20.5667,164.2833,Le Monitel
422,Seoul,KR,85.39,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
423,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
425,Sungairaya,ID,82.09,light rain,0.7,108.9,Rumah Kuku Moimoi Shelly
428,Bima,ID,88.05,overcast clouds,-8.4667,118.7167,Lambitu Hotel
437,Dhidhdhoo,MV,81.52,overcast clouds,6.8833,73.1,Dhidhoo beach
439,Kieta,PG,83.84,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
