,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
343,Ieper,BE,50.8511,2.8857,61.07,85,62,6.29,broken clouds
344,Yulara,AU,-25.2406,130.9889,76.62,19,0,10.87,clear sky
345,Zonguldak,TR,41.25,31.8333,58.05,75,43,2.33,scattered clouds
346,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,85,68,1.7,broken clouds
347,San Andres,CO,12.5847,-81.7006,80.62,94,40,13.8,scattered clouds
348,Ugoofaaru,MV,5.6667,73.0,82.22,77,100,16.67,overcast clouds
349,Sergeyevka,KZ,53.88,67.4158,61.97,82,56,10.63,broken clouds
350,Yaring,TH,6.8662,101.3689,85.75,68,98,6.87,heavy intensity rain
351,Isla Vista,US,34.4133,-119.861,78.35,65,0,8.05,clear sky
352,Nantucket,US,41.2835,-70.0995,78.91,72,100,8.05,mist
353,Buin,CL,-33.7333,-70.75,60.87,57,0,2.17,clear sky
354,Marsh Harbour,BS,26.5412,-77.0636,82.6,74,1,16.71,clear sky
355,Norden,DE,53.6,7.2,58.98,74,96,13.44,overcast clouds
356,Kandava,LV,57.0409,22.7747,70.23,68,8,4.43,clear sky
357,Mount Isa,AU,-20.7333,139.5,71.37,14,0,6.91,clear sky
358,Kaniama,CD,-7.5667,24.1833,66.67,55,26,3.78,scattered clouds
359,Komsomolskiy,UZ,40.4272,71.7189,95.72,23,0,6.91,clear sky
360,Portland,US,45.5234,-122.6762,71.87,69,40,10.36,scattered clouds
361,Nanning,CN,22.8167,108.3167,90.05,64,42,9.04,scattered clouds
362,Katsuura,JP,35.1333,140.3,82.47,85,34,17.22,scattered clouds
363,Palmas Bellas,PA,9.2319,-80.0867,77.02,91,100,5.39,overcast clouds
364,La Primavera,CO,5.4906,-70.4092,71.87,92,83,2.57,broken clouds
365,Tieli,CN,46.95,128.05,80.19,57,33,6.71,scattered clouds
366,Kuusamo,FI,65.9667,29.1833,64.44,82,0,6.91,clear sky
367,Polewali,ID,-3.4324,119.3435,86.22,71,36,6.91,scattered clouds
368,Saint-Alexandre,FR,44.2278,4.6214,72.3,61,0,5.48,clear sky
369,Nara,JP,34.6851,135.8049,88.97,39,46,13.85,scattered clouds
370,Carbonia,IT,39.1672,8.5222,74.01,56,0,2.37,clear sky
371,Lumby,CA,50.2498,-118.969,73.99,43,95,1.14,overcast clouds
372,Emba,KZ,48.8264,58.1442,82.22,27,90,6.91,overcast clouds
373,Ola,RU,59.5833,151.2833,62.2,73,94,3.78,overcast clouds
374,Iwanai,JP,42.9744,140.5089,77.76,67,97,4.25,overcast clouds
375,Kunzell,DE,50.5442,9.7179,64.53,84,67,1.63,broken clouds
376,Nordhorn,DE,52.4333,7.0833,60.94,86,86,4.99,overcast clouds
377,Manzanillo,CU,20.3433,-77.1167,73.47,88,75,8.52,broken clouds
378,Zhangjiakou,CN,40.81,114.8794,82.53,50,100,5.7,overcast clouds
379,Cloquet,US,46.7216,-92.4594,66.38,75,100,5.75,overcast clouds
380,Wattegama,LK,6.7989,81.4808,90.27,51,91,3.6,overcast clouds
381,Korla,CN,41.7597,86.1469,90.25,19,0,14.9,clear sky
382,Priargunsk,RU,50.3691,119.1012,83.97,48,35,3.49,scattered clouds
383,Changji,CN,44.0167,87.3167,93.99,17,0,8.95,clear sky
384,Lucapa,AO,-8.4192,20.7447,64.96,56,40,2.77,scattered clouds
385,Toul,FR,48.6667,5.9167,63.99,91,0,3.44,clear sky
386,Kikinda,RS,45.8297,20.4653,73.99,24,1,5.66,clear sky
387,Nemuro,JP,43.3236,145.575,62.26,82,34,7.11,scattered clouds
388,San Jeronimo,PE,-11.9472,-75.2829,48.24,68,54,2.24,broken clouds
389,Kodiak,US,57.79,-152.4072,54.91,67,100,6.91,overcast clouds
390,Aden,YE,12.7794,45.0367,82.47,78,73,9.84,broken clouds
391,Pital,CO,2.2665,-75.8044,64.81,85,100,4.61,overcast clouds
392,Araouane,ML,18.9048,-3.5265,87.87,46,53,9.15,light rain
393,Cidreira,BR,-30.1811,-50.2056,63.18,92,100,1.95,heavy intensity rain
394,Reconquista,AR,-29.15,-59.65,65.25,79,55,6.22,broken clouds
395,Kati,ML,12.7441,-8.0726,74.61,93,72,4.72,broken clouds
396,Labrea,BR,-7.2586,-64.7981,74.57,66,7,0.67,clear sky
397,Lerici,IT,44.0759,9.9112,78.75,63,0,3.42,clear sky
398,Te Anau,NZ,-45.4167,167.7167,41.94,90,70,1.97,broken clouds
399,Viransehir,TR,37.2353,39.7631,85.24,28,0,4.29,clear sky
400,Taraz,KZ,42.9,71.3667,95.41,14,0,4.47,clear sky
401,Bundaberg,AU,-24.85,152.35,63.21,98,100,9.22,light rain
402,Rio Grande,BR,-32.035,-52.0986,57.94,99,100,7.45,moderate rain
403,Taizhou,CN,32.4933,119.9106,92.71,49,23,4.52,few clouds
404,Salinopolis,BR,-0.6136,-47.3561,77.72,82,69,7.36,broken clouds
405,Tres Lagoas,BR,-20.7511,-51.6783,67.6,44,25,5.79,scattered clouds
406,Aklavik,CA,68.2191,-135.0107,67.39,57,90,7.02,overcast clouds
407,Libreville,GA,0.3925,9.4537,74.03,85,97,10.27,overcast clouds
408,Joshimath,IN,30.5667,79.5667,80.65,70,98,6.89,overcast clouds
409,Road Town,VG,18.4167,-64.6167,80.69,80,27,19.95,scattered clouds
410,Platanos,GR,37.6667,21.6167,79.57,35,0,3.6,clear sky
411,Bentiu,SS,9.2333,29.8333,72.03,88,96,0.11,overcast clouds
412,Aktash,RU,50.3,87.7333,53.37,72,90,1.5,overcast clouds
413,Karratha,AU,-20.7377,116.8463,80.28,49,0,7.72,clear sky
414,Barcelos,PT,41.5388,-8.6151,64.85,84,99,1.66,overcast clouds
415,Yeppoon,AU,-23.1333,150.7333,73.18,66,31,8.21,scattered clouds
416,Jiujiang,CN,29.7333,115.9833,99.03,47,91,3.13,overcast clouds
417,Fortuna,US,40.5982,-124.1573,59.94,82,51,1.99,broken clouds
418,Ayan,RU,56.45,138.1667,59.05,85,87,4.25,overcast clouds
419,San Policarpo,PH,12.1791,125.5072,86.25,69,61,6.29,broken clouds
420,Saint-Augustin,CA,51.226,-58.6502,59.34,73,98,4.83,overcast clouds
421,Koumac,NC,-20.5667,164.2833,80.6,71,100,7.94,overcast clouds
422,Seoul,KR,37.5683,126.9778,85.39,76,75,10.36,mist
423,Padang,ID,-0.9492,100.3543,84.25,68,93,5.77,overcast clouds
424,De-Kastri,RU,51.4667,140.7833,61.9,85,100,5.82,overcast clouds
425,Sungairaya,ID,0.7,108.9,82.09,74,100,5.64,light rain
426,Husavik,IS,66.0449,-17.3389,48.16,89,67,2.44,broken clouds
427,Buta,CD,2.7858,24.73,69.15,99,100,2.33,overcast clouds
428,Bima,ID,-8.4667,118.7167,88.05,56,97,6.11,overcast clouds
429,Pangnirtung,CA,66.1451,-65.7125,43.29,87,21,3.96,few clouds
430,Bay Roberts,CA,47.5999,-53.2648,62.35,95,28,1.99,scattered clouds
431,Port Augusta,AU,-32.5,137.7667,66.94,45,97,20.74,overcast clouds
432,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,2.3,overcast clouds
433,Pimentel,PE,-6.8367,-79.9342,61.56,90,60,9.93,broken clouds
434,Olinda,BR,-8.0089,-34.8553,73.13,88,40,6.91,scattered clouds
435,Singleton,AU,-32.5667,151.1833,65.98,63,37,8.99,scattered clouds
436,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,66.24,76,94,14.14,overcast clouds
437,Dhidhdhoo,MV,6.8833,73.1,81.52,78,100,18.37,overcast clouds
438,Bambous Virieux,MU,-20.3428,57.7575,71.22,83,75,16.11,light rain
439,Kieta,PG,-6.2167,155.6333,83.84,63,52,3.89,broken clouds
